file_name,condition
a4ffac5d-9511118a,"Clear, Day"
aadd2a9c-9478b53b,"Clear, Day"
12851a15-8e290117,"Clear, Day"
3fc4ffaf-d50f2074,"Clear, Day"
2bed5fb3-75152002,"Cloudy, Night"
52c0315c-51a50637,"Clear, Day"
26bcfb90-023ad57d,"Clear, Day"
7629ea51-1b296f6d,"Clear, Day"
5fcb2ae7-70bb5872,"Clear, Day"
9e80bd96-d0051ade,"Cloudy, Day"
4b566de0-a44d1494,"Clear, Day"
c4b3ab99-a4a09eeb,"Clear, Day"
167f11ee-af68bd2a,"Rainy, Day"
4027c10d-f7701e0e,"Clear, Day"
0c46ce67-5ca710eb,"Rainy, Day"
365e7878-ff99423a,"Clear, Day"
56ee3922-00000000,"Rainy, Day"
7ad28436-6eb5c054,"Clear, Day"
156b8888-f45d0001,"Clear, Day"
9eb5163f-701f3217,"Clear, Day"
443e0347-d3765366,"Clear, Day"
562dddea-b2800482,"Rainy, Day"
8d28a4c4-447f48b0,"Rainy, Day"
23079643-48f04dcd,"Rainy, Day"
2fbf24ee-cc4df330,"Clear, Day"
00e9be89-00001125,"Clear, Day"
0ff6a13c-52abc606,"Clear, Day"
14ee6cec-af45a7ed,"Clear, Day"
1033005c-2d699f31,"Rainy, Day"
992def10-67b4aabd,"Clear, Day"
982f86ee-c452edf3,"Clear, Day"
57e78466-027676c0,"Clear, Day"
21e621dd-b11bf5ce,"Clear, Day"
85ce05d6-1850506e,"Clear, Dawn/Dusk"
c5789b5b-89d36fa8,"Clear, Day"
99a7d933-91a0f2c3,"Cloudy, Day"
6dd76b3b-a5ab74eb,"Clear, Day"
380ec05d-83becf70,"Rainy, Day"
36aacdfe-1a543b30,"Rainy, Day"
131db8a7-0da6f1cc,"Rainy, Day"
4fe4a30f-c89df035,"Rainy, Day"
31547885-e8e7f4b3,"Clear, Day"
6957d028-00000000,"Clear, Day"
00e9be89-00001150,"Clear, Day"
1de73c32-3f5c99b2,"Clear, Day"
5ab5bb6e-75f2cfd7,"Clear, Day"
27335d48-da29bd29,"Clear, Night"
56aadd1b-00000000,"Clear, Day"
598f4b9f-5ede36c1,"Clear, Day"
2126150a-c86c859e,"Clear, Day"
c46c8375-44338121,"Rainy, Day"
19fbfd20-f9aae6df,"Clear, Day"
587e93da-9d2eef22,"Rainy, Day"
c12dc478-40a1a306,"Clear, Day"
1af2e457-06706e4b,"Rainy, Day"
5c9ed269-80010001,"Clear, Day"
3777317a-f7fd7fcd,"Rainy, Day"
244f9d52-8939637c,"Rainy, Day"
26cfed41-c7979b08,"Clear, Day"
001b428f-059bac33,"Cloudy, Day"
57d5197b-59ca80ec,"Rainy, Day"
19a9873d-f833b7c7,"Rainy, Day"
1dbc80db-797460c9,"Clear, Day"
07895b8a-3a847cf6,"Clear, Day"
636f0d79-bb3c17cc,"Clear, Day"
2ce6b94f-d1a616aa,"Cloudy, Day"
3335e32b-d9fab7f9,"Rainy, Night"
103b71c6-4d687751,"Clear, Day"
5f6197ca-ed520001,"Clear, Day"
802ad4e3-9d3121d3,"Rainy, Day"
a51d9b23-30318dda,"Clear, Day"
5b37ba9e-5548926f,"Clear, Day"
09b41d3b-d0310000,"Clear, Day"
4fe1af7b-afcb37db,"Rainy, Day"
8cbbe764-20f57346,"Rainy, Day"
3be2c655-c64ebcb8,"Clear, Night"
1238f25b-c410e1fc,"Clear, Day"
522da2c9-bfd9a7db,"Clear, Day"
4b43452a-6e1cbdfd,"Rainy, Day"
4a7eebe5-d59a559e,"Clear, Day"
1dcbf95d-a6176d4d,"Rainy, Day"
08243e30-f438bf86,"Clear, Day"
8b8ce47f-703b9530,"Clear, Day"
2ed6ab76-00000000,"Clear, Day"
b668a2f1-71cdf31d,"Clear, Day"
156b8888-10110000,"Clear, Day"
631973a4-ed1655d9,"Rainy, Day"
bd937f4d-6c06e8b4,"Rainy, Day"
3bab7f42-98a3c175,"Clear, Day"
0e5fc339-929b1def,"Rainy, Night"
308586e7-00000000,"Rainy, Day"
6f1159b9-d74298bd,"Clear, Day"
1ff90038-ff3d047b,"Clear, Day"
5a2349c6-3a2d575d,"Rainy, Day"
b90ca71f-3cf69251,"Clear, Day"
411d00f9-96d7bac3,"Clear, Day"
1e2d42a4-b1b0abcc,"Clear, Day"
5c1e4531-d8ce5e7b,"Rainy, Night"
3a674d99-fc2a7fb7,"Clear, Day"
60ded988-8397a4e5,"Clear, Day"
6bbebf9e-1ee89b43,"Clear, Day"
41fa1d32-decd078c,"Rainy, Day"
2aa78739-3fd20bb3,"Clear, Day"
4ecf5dae-00000000,"Clear, Day"
2c17beb6-9a45283e,"Clear, Day"
3207e563-76d271f0,"Clear, Day"
6c2b8088-4acc9201,"Clear, Day"
135531d4-5f271092,"Clear, Day"
4040cfa0-99182bd6,"Clear, Day"
4f8e6f6a-d0c4250a,"Clear, Day"
221d2ebc-fd3cca00,"Clear, Day"
1c3f81a3-b24f007d,"Rainy, Night"
8413f861-580b500d,"Rainy, Day"
3b49a605-00000000,"Cloudy, Day"
1ee2d0f9-c1f48031,"Clear, Day"
93a6c221-a1b1bdfb,"Rainy, Day"
b87299bf-d30f284c,"Clear, Day"
1f388f31-24ad5eb6,"Clear, Day"
47924e4b-41cb8bd8,"Clear, Day"
2e1e3eaa-5d8d34d7,"Rainy, Day"
70fd1551-891cf3ed,"Clear, Day"
367f0c7b-398bdb65,"Clear, Day"
360cfc03-57f966fc,"Clear, Dawn/Dusk"
7ce0f7a8-8cb3ed4f,"Clear, Day"
4a4a2b94-90610001,"Cloudy, Day"
11fab8e5-ed3428ff,"Clear, Day"
049dde52-19569c8c,"Clear, Day"
6c700223-59e8453a,"Clear, Day"
2f1d116a-6c216db6,"Clear, Day"
1f1ba65a-c0fbf6a8,"Clear, Day"
4012903a-ef0ce742,"Clear, Day"
4b82f8a8-7a900001,"Clear, Night"
590218a8-a103c61c,"Clear, Day"
c396e833-a3876e00,"Cloudy, Day"
797a76c0-f8830001,"Clear, Day"
c60144b6-74583c0d,"Cloudy, Night"
a423250f-ce34c4de,"Clear, Day"
186ca5af-bbb863e1,"Cloudy, Day"
96fc04e6-4ca49b3e,"Cloudy, Day"
76dc48e7-49822006,"Clear, Day"
6fdd66ab-aebd0001,"Cloudy, Day"
198d8f5e-dd29fbb8,"Clear, Day"
0cdaa475-135c7ac8,"Rainy, Day"
636e1090-01ba0000,"Clear, Day"
5e9cf180-d23e795c,"Clear, Day"
6ad83e47-f153c2a2,"Clear, Day"
1aa60c92-a1ab92ed,"Clear, Day"
21738eae-3dbe1308,"Clear, Day"
74bf2c3e-152eb588,"Clear, Day"
5e05a518-adb7211f,"Clear, Day"
c2a76d08-bba28d34,"Clear, Day"
8d35a141-0a4743a4,"Clear, Day"
4b2662a8-00000000,"Clear, Day"
2b50e905-13af3442,"Rainy, Day"
b98e3a45-c94a8f44,"Clear, Day"
21fcab2c-63830000,"Clear, Day"
1a3b76e0-1eafc790,"Clear, Day"
18de0e20-9c9da48b,"Clear, Day"
050a6921-f82936ae,"Rainy, Day"
7aaf7c04-06077131,"Clear, Day"
501623c9-a1b8755a,"Clear, Day"
747d8591-16535959,"Clear, Day"
69fa307b-4479e075,"Clear, Day"
399a6c69-00000000,"Clear, Day"
6f44c0d6-eb3d4b98,"Cloudy, Dawn/Dusk"
616a276c-c76f9016,"Rainy, Night"
1d765c9d-af124435,"Rainy, Day"
ade9936a-e310873d,"Clear, Day"
164b2a2d-d2ee0001,"Rainy, Day"
accd59aa-917a1b43,"Clear, Day"
0a493f24-352f747e,"Clear, Day"
abc10178-819bc168,"Clear, Day"
1474dcee-00000000,"Clear, Day"
4adb062d-5dd90001,"Rainy, Day"
4a982dc5-5fd3365f,"Clear, Day"
57cdb637-d5d678a9,"Clear, Day"
01c231b4-1ebf841a,"Clear, Day"
3f3a389d-00b0c924,"Clear, Day"
2b65e5fb-97a35149,"Clear, Day"
3115aed6-d6d5bdc6,"Clear, Day"
c11a0015-fa2086af,"Rainy, Day"
a58f81f2-78ae959f,"Clear, Day"
0f01b85e-4ac91fc2,"Rainy, Day"
1a03658c-77a37bd9,"Clear, Day"
4d87df0f-1699abb1,"Clear, Day"
7ed684c5-97f8c437,"Clear, Day"
37e3bad7-f1ed8c1b,"Clear, Day"
72640067-9c2d4c47,"Clear, Day"
2f1b8110-37e9fbad,"Clear, Day"
7068d4f1-f1e58bec,"Clear, Day"
3b0f54aa-0b830c05,"Rainy, Day"
0d58d15a-6496522e,"Clear, Day"
6bd4c82b-ef53f706,"Cloudy, Day"
a21d5510-651ee905,"Clear, Day"
58434cca-00000000,"Clear, Day"
117f55ba-bf7763aa,"Clear, Day"
00e9be89-00001625,"Clear, Day"
05c25835-db5c1f5f,"Cloudy, Dawn/Dusk"
9bd35228-adfe7af8,"Clear, Day"
2dc4e4d2-e119b0cf,"Clear, Day"
11dc1774-6942564c,"Rainy, Day"
55bd9a88-5a2b15cb,"Clear, Day"
553e4a19-65a40001,"Clear, Day"
80afc83f-acc7539a,"Clear, Day"
1b338bb0-a226b952,"Clear, Day"
b8201476-b9dba8dd,"Cloudy, Day"
2152dd88-66591d34,"Rainy, Day"
001c2a14-c7138401,"Clear, Day"
0c8af716-4ea8aa81,"Clear, Day"
b803d91d-ff86709c,"Clear, Day"
0d606092-486670ee,"Clear, Day"
acbfa7ca-40827260,"Clear, Day"
573809a9-61c71300,"Rainy, Day"
03fa2083-00000000,"Rainy, Day"
5d4f6bb7-576403f6,"Rainy, Day"
47e75638-26f3430a,"Clear, Day"
324293f3-bcac4bd6,"Clear, Day"
5ffe9db5-28ce0001,"Clear, Day"
0f19617d-b4f92e8f,"Clear, Day"
6e66e36a-826d3f0c,"Rainy, Day"
4e0e8b40-845f0001,"Clear, Day"
9c28931a-ea35a7bd,"Clear, Day"
0d3ec56a-f4cead6f,"Clear, Day"
6cb13336-6714f9ac,"Clear, Day"
3fb41f8e-4aa1aacb,"Clear, Day"
52b0b6a2-5a6a2e0e,"Clear, Day"
9bbbafe6-db7b36de,"Rainy, Day"
1f77fb7b-d1d8dfee,"Clear, Day"
227c4a9a-de5fe5f4,"Clear, Day"
9ab509ca-6419a7f9,"Clear, Day"
b4632db3-9724d92c,"Rainy, Day"
4e44d738-8cc9aba8,"Clear, Day"
c096103a-665e307e,"Clear, Day"
1657b8e3-ca32d044,"Clear, Day"
14709479-5670175a,"Rainy, Day"
b2a99ee3-5abca703,"Clear, Day"
04a8e132-4f929465,"Rainy, Day"
36d5aae7-3bd4ca72,"Rainy, Day"
16dce9f0-8ef6f581,"Clear, Day"
1db5626d-b5b9afef,"Clear, Day"
06791257-dc3df11b,"Rainy, Day"
56f9f2fd-687c9fb0,"Rainy, Day"
02ca8f4b-39c79dec,"Clear, Day"
aee3c5a6-c7c2a98a,"Clear, Day"
bbc0f7ea-39a32393,"Clear, Day"
0f2e6f9c-a281e34b,"Clear, Day"
3b56b264-f782dd83,"Rainy, Day"
5c9ed269-b6b00001,"Clear, Day"
c273e0e3-050cf9b4,"Clear, Day"
15569b20-9da311aa,"Rainy, Day"
5ca490b4-ef154db0,"Clear, Night"
6214e6aa-00000000,"Clear, Day"
ad09a5b3-81e6d6d7,"Clear, Day"
0816a76e-156b669b,"Clear, Day"
21fcab2c-c42a0000,"Clear, Day"
8687d021-9cacd9fa,"Clear, Day"
0464d3e2-88448505,"Clear, Day"
0124dfa6-385ff593,"Clear, Day"
b26f8762-61cfb033,"Clear, Day"
353c68ef-d95e98bb,"Clear, Day"
30b4085c-2a3ca635,"Clear, Day"
70645727-d7bf9a15,"Rainy, Day"
51273edc-44cbe6db,"Clear, Day"
0631bd6c-14480fea,"Clear, Day"
18e598f0-13810001,"Clear, Day"
5fc5471a-795ac017,"Rainy, Day"
90ea4f91-6de4faa1,"Clear, Day"
56a80277-d8c0d525,"Rainy, Day"
b11c57ab-395c5012,"Clear, Day"
1f44d8f2-8b61b124,"Clear, Day"
91f20f10-7f59ca4a,"Rainy, Day"
5cf7f32c-d257a8f9,"Rainy, Day"
18b3bb72-26a12d19,"Rainy, Day"
a4c2949b-1bde1750,"Rainy, Night"
64af037d-00000000,"Cloudy, Day"
0ea18604-eec933af,"Clear, Day"
3b59c8a5-f0b031cc,"Rainy, Night"
1ac04b6e-29a11fc2,"Rainy, Day"
4d4a590b-b8563a84,"Clear, Day"
559fed19-041c6358,"Clear, Day"
1abefa71-57f4a86e,"Clear, Day"
2444b4fc-7849857a,"Clear, Day"
5e5188d9-4b701ee0,"Rainy, Day"
27f635b5-0893ff34,"Clear, Day"
51273edc-2dfd4efc,"Clear, Day"
636e1090-9cf60001,"Clear, Day"
b48c7b5f-ae58463a,"Clear, Day"
6bcc75de-f46462eb,"Rainy, Day"
4dd07a28-0b8894c9,"Clear, Day"
2f26b25d-3de7fde6,"Clear, Day"
31081723-b51998d4,"Rainy, Day"
17da591c-7bccf941,"Clear, Day"
c77c73fc-eb090c8e,"Rainy, Night"
51fff027-0da11077,"Rainy, Day"
3b71089b-7e6805c5,"Rainy, Day"
9242a263-1253a2b5,"Clear, Day"
2d9aefec-292708b7,"Clear, Day"
4ae9bac7-540f7f8f,"Clear, Day"
c0458999-18bb1ce3,"Clear, Day"
092c9382-666dfa86,"Clear, Day"
49efaca4-00000000,"Clear, Day"
73e907e7-d3628773,"Clear, Day"
4e79913c-00000000,"Clear, Day"
2fbe84b7-2041476f,"Clear, Day"
39c52bb4-1c016dc1,"Clear, Day"
76c76a25-b21beae6,"Rainy, Day"
94a59b4a-2442a64a,"Clear, Day"
4c7d75ce-387b0000,"Clear, Day"
44c8ef75-37dd9bc2,"Clear, Day"
626ec015-61ac91c1,"Clear, Day"
00e9be89-00001360,"Clear, Day"
c7a23570-73d2078f,"Clear, Day"
13163948-7d0574d6,"Rainy, Day"
86340950-d91b4146,"Rainy, Night"
6e6d3b18-ef3c25b1,"Clear, Day"
1baa651b-e3850001,"Clear, Day"
325a8deb-6063787c,"Clear, Day"
0accdaac-c56ee5d7,"Cloudy, Day"
4af17d90-d3f4cc6a,"Clear, Day"
958ded86-63bc47a8,"Clear, Day"
5b79e291-ab031997,"Rainy, Day"
4788a598-59637d28,"Rainy, Dawn/Dusk"
a635b203-a3ac67af,"Clear, Day"
4bb874f7-52e2043b,"Rainy, Day"
03f83bd2-8b868f35,"Clear, Day"
3f81e834-17c6986b,"Clear, Day"
4fa7b985-cbceea96,"Clear, Day"
0f31361a-7020f98e,"Rainy, Day"
26374ce7-b21faf02,"Rainy, Day"
1bfd69b5-0fb4c3aa,"Clear, Day"
340f5f82-892b6242,"Rainy, Day"
4e619a5c-aa1e432d,"Cloudy, Day"
17ef3e1b-87850001,"Clear, Day"
853e4824-adc881f5,"Rainy, Day"
3c277018-c7524b3f,"Rainy, Day"
35550c7a-168d1f0e,"Rainy, Night"
ae7f4103-b1fbdc93,"Clear, Day"
087f0ebb-398a0001,"Clear, Night"
33f3e7c4-baa2cbee,"Rainy, Day"
7d219900-952c3739,"Clear, Day"
4adb062d-5dd90000,"Rainy, Day"
0a8368e0-41c6b3b3,"Clear, Day"
2143d41a-e88cb702,"Clear, Day"
00e9be89-00001675,"Clear, Day"
00e9be89-00000015,"Clear, Day"
28381a23-e41d0001,"Clear, Day"
bb087b1c-6c9e904f,"Clear, Day"
1338c75c-91e30000,"Clear, Day"
2dc4e4d2-1e5ba0e0,"Clear, Day"
795fa7c3-3ab2b2d6,"Clear, Night"
6b367893-d4d0a7ba,"Rainy, Day"
5a360f86-00000000,"Rainy, Night"
6ce99224-3f18fa82,"Clear, Day"
49469fcc-31ac03cc,"Clear, Day"
46fac08d-ad125262,"Clear, Day"
6a90b276-de741058,"Clear, Day"
15c0edab-4cb3b2e1,"Clear, Day"
31b1e2fc-3f4de8f8,"Rainy, Day"
bfae2833-616084f1,"Rainy, Day"
5231447b-51012221,"Clear, Day"
38a7cc60-88f195d0,"Rainy, Day"
af915d2f-54f6dbcc,"Clear, Day"
34bd8b4d-00530890,"Rainy, Night"
3e3414ed-dbb81fff,"Clear, Day"
157a9cee-5ce9ec62,"Clear, Day"
1fc1bd4d-b161fc2a,"Cloudy, Day"
68eae8d4-3ed5f45a,"Clear, Day"
5a4589c4-ba64e972,"Rainy, Day"
64c92e34-332545df,"Rainy, Day"
3aafde60-5ef67d7c,"Clear, Day"
73c1de6b-6d50c51b,"Clear, Day"
5ee904fe-0feb5a56,"Rainy, Day"
636e1090-b4a00000,"Clear, Day"
5c44b904-f18d5c2a,"Clear, Day"
3f4a6333-b65dd939,"Rainy, Day"
0b79446c-48c74eea,"Clear, Day"
75a13ef8-03b839a3,"Rainy, Day"
70948658-00000000,"Cloudy, Day"
60ae1f84-7f7febe6,"Clear, Day"
5dff6680-b807fdad,"Clear, Day"
7b6ec06a-00000000,"Rainy, Night"
739da56e-90202988,"Clear, Day"
bd355fcc-3c7a6e8f,"Clear, Day"
5f6197ca-079b0000,"Clear, Day"
38ed8d8d-93c48de2,"Clear, Day"
4e48b2cf-d8b1a9ed,"Rainy, Day"
3167c7cf-9ae27bdd,"Clear, Day"
34d80f57-bd3b9ea7,"Clear, Day"
a05d278b-0438b1cf,"Clear, Day"
71ae6276-81724033,"Clear, Day"
5c582b02-9311595a,"Clear, Day"
5e71d54f-e77d54cb,"Clear, Day"
2f2b0a0c-918f0000,"Clear, Night"
709b8823-221cf1a5,"Clear, Day"
788d121c-00000000,"Clear, Day"
2aca94cf-00000000,"Rainy, Day"
6c2ab388-58f4b8d3,"Rainy, Day"
bcd02ab4-440fd7e6,"Rainy, Day"
2a462b9a-8e0e63c0,"Clear, Day"
75fc78f3-de157239,"Rainy, Night"
30371808-fcfeb92f,"Clear, Day"
7c23993b-00000000,"Rainy, Day"
2f1d116a-bd884028,"Clear, Day"
5358efb3-dacc8972,"Rainy, Night"
2d4786e8-4b22ebc9,"Clear, Day"
1770baac-3b0f3cb8,"Rainy, Day"
8cf4c763-031a543c,"Rainy, Day"
537b74ce-00000000,"Clear, Day"
9d460d7c-fe55dc99,"Clear, Day"
2bff017b-00000000,"Clear, Day"
3d3f2fa6-666e1cf1,"Rainy, Day"
ad29b99d-848897ac,"Clear, Day"
35c15d8e-f5628992,"Clear, Day"
6f0cc882-8b3e057a,"Rainy, Day"
2f92bf48-6c0467b4,"Clear, Day"
3ac31a4f-dfdbb94c,"Clear, Day"
6e1ef365-9c41ed48,"Clear, Day"
3942c850-af1c0001,"Clear, Day"
7915a908-7b47dd5c,"Rainy, Day"
15999e55-f9569033,"Clear, Day"
2b019754-a6135ee4,"Clear, Day"
bacbfdaa-837ca39c,"Cloudy, Day"
1d4a2cd0-2346f354,"Rainy, Day"
00e9be89-00001230,"Cloudy, Day"
c8ed2212-b60fa314,"Clear, Day"
7cb24d49-1b9e25a0,"Rainy, Day"
00e9be89-00001915,"Clear, Day"
64d7b205-de6c351b,"Clear, Day"
74cbd3e8-00000000,"Clear, Day"
2affd97c-350d6c87,"Cloudy, Day"
78c1b906-2c59e821,"Rainy, Day"
0345825a-23390001,"Clear, Day"
7e9d3327-76f2f118,"Clear, Day"
2a0f8180-73bf4766,"Clear, Day"
baa79505-43ff4345,"Clear, Day"
adb9b134-2937d690,"Clear, Day"
c3ee5975-02ea08d9,"Rainy, Night"
c37b9726-29dfad76,"Clear, Day"
69b78fed-00000000,"Clear, Day"
9fde204c-d9b5e200,"Clear, Day"
906eec9d-3a4db6c5,"Rainy, Day"
70720f4e-c57c2329,"Clear, Day"
6ba6358d-eea81eb7,"Clear, Dawn/Dusk"
3ace3181-c9f4299c,"Clear, Day"
9fbe18c1-ff1dd814,"Clear, Day"
1f1550e9-e0666702,"Clear, Day"
1f998bee-00000000,"Cloudy, Day"
771df318-08959e47,"Clear, Day"
29655c8d-c528b8d8,"Clear, Day"
6ce99224-b7809337,"Clear, Day"
6b5534b0-00000000,"Clear, Day"
7db8bef5-3e06c188,"Rainy, Day"
3cc26263-fca6c9c3,"Clear, Day"
4ac80c15-d1dc0000,"Clear, Day"
4cc1244c-35b1c608,"Clear, Day"
28d07634-04bb05db,"Rainy, Day"
4f8a10d3-4ab30000,"Clear, Day"
ae420565-b8ce7713,"Rainy, Day"
1f96922c-4188f9ea,"Cloudy, Day"
768d0da9-acfee805,"Rainy, Day"
4f78ced4-69bcd505,"Clear, Day"
79c46f68-7eab89d6,"Clear, Day"
5e03d4e0-8eeec9c0,"Cloudy, Day"
152a8c1e-3703737c,"Clear, Day"
b499ff48-6a0b212e,"Clear, Day"
972ab49a-6a6eeaf5,"Clear, Day"
65ae49f3-060b25d6,"Rainy, Day"
3f27990e-00000000,"Clear, Day"
58fef603-0ba8e58b,"Rainy, Day"
60ee9fc7-ead50001,"Clear, Day"
3ec04a5b-1a195cfe,"Rainy, Night"
b5a4b486-dde596cb,"Clear, Day"
62477a14-00000000,"Clear, Day"
2e54b87c-9e02b648,"Rainy, Day"
437b5f8d-fe104286,"Clear, Day"
580b24f0-bf038183,"Rainy, Day"
2ced6610-4c40a0e7,"Clear, Day"
a312aa02-6a740d7d,"Clear, Day"
62ee5334-d505cc37,"Rainy, Day"
31817fbb-4ee1142d,"Clear, Day"
b3a9281a-e8ba5d66,"Clear, Dawn/Dusk"
3bd568e3-2a816d18,"Rainy, Day"
98792618-50ea4e7f,"Clear, Day"
b499ff48-31afe322,"Clear, Day"
197c8ab8-da380001,"Clear, Day"
133a443d-88a3020f,"Clear, Day"
8ac5ec86-39e32a24,"Clear, Day"
0cca6223-bbe8997f,"Clear, Day"
684715d5-23039d9c,"Rainy, Night"
8b773dfc-355ad21d,"Rainy, Day"
2a64564b-fc033dc8,"Clear, Day"
4c1681b2-2D75E377,"Clear, Day"
589a92b6-00000000,"Clear, Day"
2012cb38-2132fe03,"Rainy, Day"
04d695e7-e76d397f,"Rainy, Day"
67ed7da0-b623e02f,"Clear, Day"
7384bbd4-00000000,"Clear, Night"
4da24b7c-16a431bc,"Clear, Day"
1e7b9da8-b8d68d02,"Rainy, Day"
712281d5-00000000,"Rainy, Day"
38dce4c8-91ed80a9,"Clear, Day"
3ea9cd2f-0bdeae51,"Clear, Day"
7683cc31-27bf0000,"Clear, Day"
0fa41d9d-0f21770c,"Clear, Day"
12dbce83-368f9b4c,"Clear, Day"
3740cd4f-953af260,"Clear, Day"
00e9be89-00001445,"Clear, Day"
4835d05a-00b9e825,"Rainy, Day"
b96d19af-4b6a5a63,"Clear, Night"
a37192a8-b04db02d,"Clear, Night"
3eec0a14-ab3e67db,"Rainy, Night"
89038771-b2447052,"Clear, Day"
437bc97c-96e7c98c,"Cloudy, Day"
1d1a1586-987eb0be,"Cloudy, Day"
0d538703-ccd64878,"Clear, Day"
4ace777f-00000000,"Rainy, Day"
5ddee8eb-5b60213e,"Clear, Day"
7c7ddf9c-77a3f317,"Clear, Day"
a6455af8-f0a1f75b,"Clear, Day"
bef271e3-99f9020e,"Clear, Day"
56070b32-c46db6a2,"Clear, Day"
3defd7dc-3cad1f9d,"Clear, Day"
76e80c26-2f48f869,"Clear, Day"
19f52469-c5f6f15e,"Clear, Day"
633c898b-00000000,"Clear, Day"
2c0b9a3a-cd802a6b,"Rainy, Day"
45c3118e-7253b9d6,"Rainy, Day"
a9c8091c-c67ba906,"Clear, Day"
87154a3d-65d8e0c4,"Rainy, Day"
2efa64b8-e7fc3b66,"Clear, Day"
55083248-ef9cdda1,"Rainy, Day"
50ebc4b1-da350e76,"Clear, Day"
0d60205d-0e9f928a,"Clear, Day"
1f38d887-27fa3ef2,"Clear, Day"
1fe77295-79390406,"Clear, Day"
75c3fa01-00000000,"Clear, Day"
0ccee6d5-1b69c148,"Clear, Day"
9ac7f707-d7ea3d0d,"Clear, Day"
504942e4-e8ae0000,"Rainy, Day"
8104f487-125f3368,"Clear, Day"
3f34895a-9d440001,"Clear, Day"
1e7f3aa2-ad3aa559,"Clear, Day"
9c38185c-fc417ba0,"Clear, Day"
b06ef369-cfdbd767,"Clear, Day"
c63800c9-ebf059d1,"Clear, Day"
4e0b54fa-81a27d45,"Rainy, Day"
b6ffd606-322ba017,"Clear, Day"
3fb19921-d9d3d738,"Clear, Day"
87154a3d-1bdf86d1,"Clear, Day"
564397de-16d4592a,"Clear, Day"
10c481ad-a1f9aa6d,"Clear, Day"
b2b70230-c43553a9,"Clear, Day"
1fe39b85-7ba605b6,"Clear, Night"
6e36edb9-7d17e7e2,"Clear, Day"
203fb7bc-cbb4be86,"Rainy, Day"
b4860efe-127bd880,"Clear, Day"
17fb67eb-28a14e3e,"Rainy, Day"
7bfaca74-00000000,"Rainy, Day"
0e9e8f3e-55cd30d7,"Clear, Day"
57f16312-548b16c6,"Rainy, Day"
aef62727-a6e9f401,"Clear, Day"
46b892c3-cc9b9ee4,"Rainy, Day"
0252f2b5-741a86c9,"Clear, Day"
5ec4b0c3-22d5eee2,"Clear, Dawn/Dusk"
57e171f1-31822568,"Clear, Day"
5981fad8-afa87032,"Rainy, Day"
3ad47924-0106cce6,"Clear, Day"
3f8b781f-38cbe876,"Clear, Day"
218bd0b0-a6538415,"Clear, Day"
00e9be89-00001500,"Clear, Day"
4d13fd55-de99e222,"Clear, Day"
b24f7455-e8c55d6a,"Clear, Day"
1b130dc7-2e7e19fc,"Clear, Day"
3e5c9400-4bf667a9,"Clear, Day"
1eeafccf-d1d0ead9,"Cloudy, Dawn/Dusk"
8b41c911-dcf8f20d,"Rainy, Day"
1f460b06-dec5d3de,"Clear, Day"
