image_index,context_name,context_frame,camera_id,condition
65,10023947602400723454_1120_000_1140_000,1552440198161543,2,"Day,Clear,Bad lighting"
66,10023947602400723454_1120_000_1140_000,1552440198361627,0,"Day,Snow,Bad lighting"
67,10023947602400723454_1120_000_1140_000,1552440198361627,1,"Day,Rain,Bad lighting"
68,10023947602400723454_1120_000_1140_000,1552440198361627,2,"Day,Clear,Bad lighting"
69,10023947602400723454_1120_000_1140_000,1552440198561742,0,"Day,Snow,Bad lighting"
70,10023947602400723454_1120_000_1140_000,1552440198561742,1,"Day,Rain,Bad lighting"
71,10023947602400723454_1120_000_1140_000,1552440198561742,2,"Day,Snow,Bad lighting"
72,10023947602400723454_1120_000_1140_000,1552440198962023,0,"Day,Rain,Bad lighting"
73,10023947602400723454_1120_000_1140_000,1552440198962023,1,"Day,Rain,Bad lighting"
74,10023947602400723454_1120_000_1140_000,1552440198962023,2,"Day,Snow,Bad lighting"
75,10023947602400723454_1120_000_1140_000,1552440202762508,0,"Day,Clear,Bad lighting"
76,10023947602400723454_1120_000_1140_000,1552440202762508,1,"Day,Rain,Bad lighting"
77,10023947602400723454_1120_000_1140_000,1552440202762508,2,"Day,Clear,Bad lighting"
78,10023947602400723454_1120_000_1140_000,1552440203162558,0,"Day,Clear,Bad lighting"
79,10023947602400723454_1120_000_1140_000,1552440203162558,1,"Day,Clear,Bad lighting"
80,10023947602400723454_1120_000_1140_000,1552440203162558,2,"Day,Clear,Bad lighting"
81,10023947602400723454_1120_000_1140_000,1552440203362569,0,"Day,Clear,Bad lighting"
82,10023947602400723454_1120_000_1140_000,1552440203362569,1,"Day,Rain,Bad lighting"
83,10023947602400723454_1120_000_1140_000,1552440203362569,2,"Day,Clear,Bad lighting"
84,10023947602400723454_1120_000_1140_000,1552440203562534,0,"Day,Snow,Bad lighting"
85,10023947602400723454_1120_000_1140_000,1552440203562534,1,"Day,Clear,Bad lighting"
86,10023947602400723454_1120_000_1140_000,1552440203562534,2,"Day,Clear,Bad lighting"
87,10023947602400723454_1120_000_1140_000,1552440203962552,0,"Night,Clear,Bad lighting"
88,10023947602400723454_1120_000_1140_000,1552440203962552,1,"Day,Rain,Bad lighting"
89,10023947602400723454_1120_000_1140_000,1552440203962552,2,"Day,Clear,Bad lighting"
90,10023947602400723454_1120_000_1140_000,1552440207762621,0,"Day,Clear,Bad lighting"
91,10023947602400723454_1120_000_1140_000,1552440207762621,1,"Day,Clear,Bad lighting"
92,10023947602400723454_1120_000_1140_000,1552440207762621,2,"Day,Clear,Bad lighting"
93,10023947602400723454_1120_000_1140_000,1552440208162619,0,"Day,Snow,Bad lighting"
94,10023947602400723454_1120_000_1140_000,1552440208162619,1,"Day,Clear,Bad lighting"
95,10023947602400723454_1120_000_1140_000,1552440208162619,2,"Day,Clear,Bad lighting"
96,10023947602400723454_1120_000_1140_000,1552440208362613,0,"Night,Snow,Bad lighting"
97,10023947602400723454_1120_000_1140_000,1552440208362613,1,"Day,Rain,Bad lighting"
98,10023947602400723454_1120_000_1140_000,1552440208362613,2,"Day,Clear,Bad lighting"
99,10023947602400723454_1120_000_1140_000,1552440208562580,0,"Day,Snow,Bad lighting"
100,10023947602400723454_1120_000_1140_000,1552440208562580,1,"Day,Rain,Bad lighting"
101,10023947602400723454_1120_000_1140_000,1552440208562580,2,"Day,Clear,Bad lighting"
102,10023947602400723454_1120_000_1140_000,1552440208962571,0,"Day,Snow,Bad lighting"
103,10023947602400723454_1120_000_1140_000,1552440208962571,1,"Day,Rain,Bad lighting"
104,10023947602400723454_1120_000_1140_000,1552440208962571,2,"Day,Clear,Bad lighting"
105,10023947602400723454_1120_000_1140_000,1552440212762544,0,"Day,Snow,Bad lighting"
106,10023947602400723454_1120_000_1140_000,1552440212762544,1,"Day,Clear,Bad lighting"
107,10023947602400723454_1120_000_1140_000,1552440212762544,2,"Day,Clear,Bad lighting"
108,10023947602400723454_1120_000_1140_000,1552440213162514,0,"Day,Snow,Bad lighting"
109,10023947602400723454_1120_000_1140_000,1552440213162514,1,"Day,Rain,Bad lighting"
110,10023947602400723454_1120_000_1140_000,1552440213162514,2,"Day,Clear,Bad lighting"
111,10023947602400723454_1120_000_1140_000,1552440213362519,0,"Day,Snow,Bad lighting"
112,10023947602400723454_1120_000_1140_000,1552440213362519,1,"Day,Rain,Bad lighting"
113,10023947602400723454_1120_000_1140_000,1552440213362519,2,"Day,Clear,Bad lighting"
114,10023947602400723454_1120_000_1140_000,1552440213562524,0,"Day,Snow,Bad lighting"
115,10023947602400723454_1120_000_1140_000,1552440213562524,1,"Day,Rain,Bad lighting"
116,10023947602400723454_1120_000_1140_000,1552440213562524,2,"Day,Clear,Bad lighting"
117,10023947602400723454_1120_000_1140_000,1552440213962499,0,"Day,Snow,Bad lighting"
118,10023947602400723454_1120_000_1140_000,1552440213962499,1,"Day,Clear,Bad lighting"
119,10023947602400723454_1120_000_1140_000,1552440213962499,2,"Day,Clear,Bad lighting"
120,1005081002024129653_5313_150_5333_150,1510593602540538,0,"Day,Clear,Bad lighting"
121,1005081002024129653_5313_150_5333_150,1510593602540538,1,"Day,Clear,Bad lighting"
122,1005081002024129653_5313_150_5333_150,1510593602540538,2,"Day,Snow,Bad lighting"
123,1005081002024129653_5313_150_5333_150,1510593602940141,0,"Day,Clear,Bad lighting"
124,1005081002024129653_5313_150_5333_150,1510593602940141,1,"Day,Clear,Bad lighting"
125,1005081002024129653_5313_150_5333_150,1510593602940141,2,"Day,Snow,Bad lighting"
126,1005081002024129653_5313_150_5333_150,1510593603139948,0,"Day,Clear,Good lighting"
127,1005081002024129653_5313_150_5333_150,1510593603139948,1,"Day,Clear,Bad lighting"
128,1005081002024129653_5313_150_5333_150,1510593603139948,2,"Day,Snow,Bad lighting"
129,1005081002024129653_5313_150_5333_150,1510593603339816,0,"Day,Clear,Bad lighting"
130,1005081002024129653_5313_150_5333_150,1510593603339816,1,"Day,Clear,Bad lighting"
131,1005081002024129653_5313_150_5333_150,1510593603339816,2,"Day,Snow,Bad lighting"
132,1005081002024129653_5313_150_5333_150,1510593603739758,0,"Day,Clear,Bad lighting"
133,1005081002024129653_5313_150_5333_150,1510593603739758,1,"Day,Clear,Bad lighting"
134,1005081002024129653_5313_150_5333_150,1510593603739758,2,"Day,Clear,Bad lighting"
135,1005081002024129653_5313_150_5333_150,1510593607540181,0,"Day,Clear,Bad lighting"
136,1005081002024129653_5313_150_5333_150,1510593607540181,1,"Day,Clear,Bad lighting"
137,1005081002024129653_5313_150_5333_150,1510593607540181,2,"Day,Snow,Bad lighting"
138,1005081002024129653_5313_150_5333_150,1510593607939971,0,"Day,Clear,Bad lighting"
139,1005081002024129653_5313_150_5333_150,1510593607939971,1,"Day,Clear,Bad lighting"
140,1005081002024129653_5313_150_5333_150,1510593607939971,2,"Day,Snow,Bad lighting"
141,1005081002024129653_5313_150_5333_150,1510593608139858,0,"Day,Clear,Bad lighting"
142,1005081002024129653_5313_150_5333_150,1510593608139858,1,"Day,Clear,Bad lighting"
143,1005081002024129653_5313_150_5333_150,1510593608139858,2,"Day,Clear,Bad lighting"
144,1005081002024129653_5313_150_5333_150,1510593608339754,0,"Day,Clear,Bad lighting"
145,1005081002024129653_5313_150_5333_150,1510593608339754,1,"Day,Clear,Bad lighting"
146,1005081002024129653_5313_150_5333_150,1510593608339754,2,"Day,Clear,Bad lighting"
147,1005081002024129653_5313_150_5333_150,1510593608739771,0,"Day,Clear,Bad lighting"
148,1005081002024129653_5313_150_5333_150,1510593608739771,1,"Day,Clear,Bad lighting"
149,1005081002024129653_5313_150_5333_150,1510593608739771,2,"Day,Clear,Bad lighting"
150,1005081002024129653_5313_150_5333_150,1510593612540090,0,"Day,Clear,Bad lighting"
151,1005081002024129653_5313_150_5333_150,1510593612540090,1,"Day,Clear,Bad lighting"
152,1005081002024129653_5313_150_5333_150,1510593612540090,2,"Day,Snow,Bad lighting"
153,1005081002024129653_5313_150_5333_150,1510593612940196,0,"Day,Clear,Bad lighting"
154,1005081002024129653_5313_150_5333_150,1510593612940196,1,"Day,Clear,Bad lighting"
155,1005081002024129653_5313_150_5333_150,1510593612940196,2,"Day,Snow,Bad lighting"
156,1005081002024129653_5313_150_5333_150,1510593613140287,0,"Day,Clear,Bad lighting"
157,1005081002024129653_5313_150_5333_150,1510593613140287,1,"Day,Clear,Bad lighting"
158,1005081002024129653_5313_150_5333_150,1510593613140287,2,"Day,Snow,Bad lighting"
159,1005081002024129653_5313_150_5333_150,1510593613340300,0,"Day,Clear,Bad lighting"
160,1005081002024129653_5313_150_5333_150,1510593613340300,1,"Day,Clear,Bad lighting"
161,1005081002024129653_5313_150_5333_150,1510593613340300,2,"Day,Snow,Bad lighting"
162,1005081002024129653_5313_150_5333_150,1510593613740358,0,"Day,Clear,Bad lighting"
163,1005081002024129653_5313_150_5333_150,1510593613740358,1,"Day,Clear,Bad lighting"
164,1005081002024129653_5313_150_5333_150,1510593613740358,2,"Day,Snow,Bad lighting"
165,1005081002024129653_5313_150_5333_150,1510593617540294,0,"Day,Clear,Bad lighting"
166,1005081002024129653_5313_150_5333_150,1510593617540294,1,"Day,Clear,Bad lighting"
167,1005081002024129653_5313_150_5333_150,1510593617540294,2,"Day,Snow,Bad lighting"
168,1005081002024129653_5313_150_5333_150,1510593617940232,0,"Day,Clear,Bad lighting"
169,1005081002024129653_5313_150_5333_150,1510593617940232,1,"Day,Clear,Bad lighting"
170,1005081002024129653_5313_150_5333_150,1510593617940232,2,"Day,Clear,Bad lighting"
171,1005081002024129653_5313_150_5333_150,1510593618140166,0,"Day,Clear,Bad lighting"
172,1005081002024129653_5313_150_5333_150,1510593618140166,1,"Day,Clear,Bad lighting"
173,1005081002024129653_5313_150_5333_150,1510593618140166,2,"Day,Snow,Bad lighting"
174,1005081002024129653_5313_150_5333_150,1510593618340205,0,"Day,Clear,Bad lighting"
175,1005081002024129653_5313_150_5333_150,1510593618340205,1,"Day,Clear,Bad lighting"
176,1005081002024129653_5313_150_5333_150,1510593618340205,2,"Day,Clear,Bad lighting"
177,1005081002024129653_5313_150_5333_150,1510593618740179,0,"Day,Clear,Bad lighting"
178,1005081002024129653_5313_150_5333_150,1510593618740179,1,"Day,Clear,Bad lighting"
179,1005081002024129653_5313_150_5333_150,1510593618740179,2,"Day,Clear,Bad lighting"
180,10061305430875486848_1080_000_1100_000,1552933154425267,0,"Day,Rain,Bad lighting"
181,10061305430875486848_1080_000_1100_000,1552933154425267,1,"Day,Clear,Bad lighting"
182,10061305430875486848_1080_000_1100_000,1552933154425267,2,"Day,Rain,Bad lighting"
183,10061305430875486848_1080_000_1100_000,1552933154823844,0,"Day,Clear,Bad lighting"
184,10061305430875486848_1080_000_1100_000,1552933154823844,1,"Day,Clear,Bad lighting"
185,10061305430875486848_1080_000_1100_000,1552933154823844,2,"Day,Rain,Bad lighting"
186,10061305430875486848_1080_000_1100_000,1552933155023096,0,"Day,Clear,Bad lighting"
187,10061305430875486848_1080_000_1100_000,1552933155023096,1,"Day,Clear,Bad lighting"
188,10061305430875486848_1080_000_1100_000,1552933155023096,2,"Day,Snow,Bad lighting"
189,10061305430875486848_1080_000_1100_000,1552933155222392,0,"Day,Clear,Bad lighting"
190,10061305430875486848_1080_000_1100_000,1552933155222392,1,"Day,Clear,Bad lighting"
191,10061305430875486848_1080_000_1100_000,1552933155222392,2,"Day,Rain,Bad lighting"
192,10061305430875486848_1080_000_1100_000,1552933155621201,0,"Day,Clear,Bad lighting"
193,10061305430875486848_1080_000_1100_000,1552933155621201,1,"Day,Clear,Bad lighting"
194,10061305430875486848_1080_000_1100_000,1552933155621201,2,"Day,Rain,Bad lighting"
195,10061305430875486848_1080_000_1100_000,1552933159419628,0,"Day,Clear,Bad lighting"
196,10061305430875486848_1080_000_1100_000,1552933159419628,1,"Day,Rain,Bad lighting"
197,10061305430875486848_1080_000_1100_000,1552933159419628,2,"Day,Clear,Bad lighting"
198,10061305430875486848_1080_000_1100_000,1552933159819792,0,"Day,Clear,Bad lighting"
199,10061305430875486848_1080_000_1100_000,1552933159819792,1,"Day,Rain,Bad lighting"
200,10061305430875486848_1080_000_1100_000,1552933159819792,2,"Day,Clear,Bad lighting"
201,10061305430875486848_1080_000_1100_000,1552933160019910,0,"Day,Clear,Bad lighting"
202,10061305430875486848_1080_000_1100_000,1552933160019910,1,"Day,Rain,Bad lighting"
203,10061305430875486848_1080_000_1100_000,1552933160019910,2,"Day,Clear,Bad lighting"
204,10061305430875486848_1080_000_1100_000,1552933160219960,0,"Day,Clear,Bad lighting"
205,10061305430875486848_1080_000_1100_000,1552933160219960,1,"Day,Clear,Bad lighting"
206,10061305430875486848_1080_000_1100_000,1552933160219960,2,"Day,Clear,Bad lighting"
207,10061305430875486848_1080_000_1100_000,1552933160620090,0,"Day,Clear,Bad lighting"
208,10061305430875486848_1080_000_1100_000,1552933160620090,1,"Day,Snow,Bad lighting"
209,10061305430875486848_1080_000_1100_000,1552933160620090,2,"Day,Clear,Bad lighting"
210,10061305430875486848_1080_000_1100_000,1552933164419581,0,"Day,Clear,Bad lighting"
211,10061305430875486848_1080_000_1100_000,1552933164419581,1,"Day,Clear,Bad lighting"
212,10061305430875486848_1080_000_1100_000,1552933164419581,2,"Day,Clear,Bad lighting"
213,10061305430875486848_1080_000_1100_000,1552933164819536,0,"Day,Clear,Bad lighting"
214,10061305430875486848_1080_000_1100_000,1552933164819536,1,"Day,Clear,Bad lighting"
215,10061305430875486848_1080_000_1100_000,1552933164819536,2,"Day,Clear,Bad lighting"
216,10061305430875486848_1080_000_1100_000,1552933165019530,0,"Day,Clear,Bad lighting"
217,10061305430875486848_1080_000_1100_000,1552933165019530,1,"Day,Clear,Bad lighting"
218,10061305430875486848_1080_000_1100_000,1552933165019530,2,"Day,Clear,Bad lighting"
219,10061305430875486848_1080_000_1100_000,1552933165219538,0,"Day,Clear,Bad lighting"
220,10061305430875486848_1080_000_1100_000,1552933165219538,1,"Day,Clear,Bad lighting"
221,10061305430875486848_1080_000_1100_000,1552933165219538,2,"Day,Clear,Bad lighting"
222,10061305430875486848_1080_000_1100_000,1552933165619549,0,"Day,Clear,Bad lighting"
223,10061305430875486848_1080_000_1100_000,1552933165619549,1,"Day,Clear,Bad lighting"
224,10061305430875486848_1080_000_1100_000,1552933165619549,2,"Day,Clear,Bad lighting"
225,10061305430875486848_1080_000_1100_000,1552933169422623,0,"Day,Clear,Bad lighting"
226,10061305430875486848_1080_000_1100_000,1552933169422623,1,"Day,Clear,Bad lighting"
227,10061305430875486848_1080_000_1100_000,1552933169422623,2,"Day,Clear,Bad lighting"
228,10061305430875486848_1080_000_1100_000,1552933169822676,0,"Day,Clear,Bad lighting"
229,10061305430875486848_1080_000_1100_000,1552933169822676,1,"Day,Clear,Bad lighting"
230,10061305430875486848_1080_000_1100_000,1552933169822676,2,"Day,Clear,Bad lighting"
231,10061305430875486848_1080_000_1100_000,1552933170022694,0,"Day,Clear,Bad lighting"
232,10061305430875486848_1080_000_1100_000,1552933170022694,1,"Day,Clear,Bad lighting"
233,10061305430875486848_1080_000_1100_000,1552933170022694,2,"Day,Clear,Bad lighting"
234,10061305430875486848_1080_000_1100_000,1552933170222726,0,"Day,Clear,Bad lighting"
235,10061305430875486848_1080_000_1100_000,1552933170222726,1,"Day,Clear,Bad lighting"
236,10061305430875486848_1080_000_1100_000,1552933170222726,2,"Day,Clear,Bad lighting"
237,10061305430875486848_1080_000_1100_000,1552933170622706,0,"Day,Clear,Bad lighting"
238,10061305430875486848_1080_000_1100_000,1552933170622706,1,"Day,Clear,Bad lighting"
239,10061305430875486848_1080_000_1100_000,1552933170622706,2,"Day,Clear,Bad lighting"
240,10072140764565668044_4060_000_4080_000,1552696052686347,0,"Day,Clear,Bad lighting"
241,10072140764565668044_4060_000_4080_000,1552696052686347,1,"Day,Clear,Bad lighting"
242,10072140764565668044_4060_000_4080_000,1552696052686347,2,"Day,Rain,Bad lighting"
243,10072140764565668044_4060_000_4080_000,1552696053087827,0,"Day,Clear,Bad lighting"
244,10072140764565668044_4060_000_4080_000,1552696053087827,1,"Day,Clear,Bad lighting"
245,10072140764565668044_4060_000_4080_000,1552696053087827,2,"Day,Snow,Bad lighting"
246,10072140764565668044_4060_000_4080_000,1552696053489057,0,"Day,Clear,Bad lighting"
247,10072140764565668044_4060_000_4080_000,1552696053489057,1,"Day,Clear,Bad lighting"
248,10072140764565668044_4060_000_4080_000,1552696053489057,2,"Day,Rain,Bad lighting"
249,10072140764565668044_4060_000_4080_000,1552696053890178,0,"Day,Snow,Bad lighting"
250,10072140764565668044_4060_000_4080_000,1552696053890178,1,"Day,Rain,Bad lighting"
251,10072140764565668044_4060_000_4080_000,1552696053890178,2,"Day,Clear,Bad lighting"
252,10072140764565668044_4060_000_4080_000,1552696057693903,0,"Day,Clear,Bad lighting"
253,10072140764565668044_4060_000_4080_000,1552696057693903,1,"Day,Rain,Bad lighting"
254,10072140764565668044_4060_000_4080_000,1552696057693903,2,"Day,Rain,Bad lighting"
255,10072140764565668044_4060_000_4080_000,1552696058093949,0,"Day,Clear,Bad lighting"
256,10072140764565668044_4060_000_4080_000,1552696058093949,1,"Day,Rain,Bad lighting"
257,10072140764565668044_4060_000_4080_000,1552696058093949,2,"Day,Rain,Bad lighting"
258,10072140764565668044_4060_000_4080_000,1552696058293912,0,"Day,Fog,Bad lighting"
259,10072140764565668044_4060_000_4080_000,1552696058293912,1,"Day,Rain,Bad lighting"
260,10072140764565668044_4060_000_4080_000,1552696058293912,2,"Day,Rain,Bad lighting"
261,10072140764565668044_4060_000_4080_000,1552696058493881,0,"Day,Rain,Bad lighting"
262,10072140764565668044_4060_000_4080_000,1552696058493881,1,"Day,Snow,Bad lighting"
263,10072140764565668044_4060_000_4080_000,1552696058493881,2,"Day,Rain,Bad lighting"
264,10072140764565668044_4060_000_4080_000,1552696058893820,0,"Day,Clear,Bad lighting"
265,10072140764565668044_4060_000_4080_000,1552696058893820,1,"Day,Rain,Bad lighting"
266,10072140764565668044_4060_000_4080_000,1552696058893820,2,"Day,Rain,Bad lighting"
267,10072140764565668044_4060_000_4080_000,1552696062693771,0,"Day,Rain,Bad lighting"
268,10072140764565668044_4060_000_4080_000,1552696062693771,1,"Day,Clear,Bad lighting"
269,10072140764565668044_4060_000_4080_000,1552696062693771,2,"Day,Rain,Bad lighting"
270,10072140764565668044_4060_000_4080_000,1552696063093783,0,"Day,Rain,Bad lighting"
271,10072140764565668044_4060_000_4080_000,1552696063093783,1,"Day,Rain,Bad lighting"
272,10072140764565668044_4060_000_4080_000,1552696063093783,2,"Day,Clear,Bad lighting"
273,10072140764565668044_4060_000_4080_000,1552696063293761,0,"Day,Rain,Bad lighting"
274,10072140764565668044_4060_000_4080_000,1552696063293761,1,"Day,Clear,Bad lighting"
275,10072140764565668044_4060_000_4080_000,1552696063293761,2,"Day,Clear,Bad lighting"
276,10072140764565668044_4060_000_4080_000,1552696063493785,0,"Day,Clear,Bad lighting"
277,10072140764565668044_4060_000_4080_000,1552696063493785,1,"Day,Clear,Bad lighting"
278,10072140764565668044_4060_000_4080_000,1552696063493785,2,"Day,Clear,Bad lighting"
279,10072140764565668044_4060_000_4080_000,1552696063893795,0,"Day,Clear,Bad lighting"
280,10072140764565668044_4060_000_4080_000,1552696063893795,1,"Day,Clear,Bad lighting"
281,10072140764565668044_4060_000_4080_000,1552696063893795,2,"Day,Clear,Bad lighting"
282,10072140764565668044_4060_000_4080_000,1552696067693731,0,"Day,Snow,Bad lighting"
283,10072140764565668044_4060_000_4080_000,1552696067693731,1,"Day,Clear,Bad lighting"
284,10072140764565668044_4060_000_4080_000,1552696067693731,2,"Day,Fog,Bad lighting"
285,10072140764565668044_4060_000_4080_000,1552696068093746,0,"Day,Snow,Bad lighting"
286,10072140764565668044_4060_000_4080_000,1552696068093746,1,"Day,Rain,Bad lighting"
287,10072140764565668044_4060_000_4080_000,1552696068093746,2,"Day,Fog,Bad lighting"
288,10072140764565668044_4060_000_4080_000,1552696068293759,0,"Day,Snow,Bad lighting"
289,10072140764565668044_4060_000_4080_000,1552696068293759,1,"Day,Rain,Bad lighting"
290,10072140764565668044_4060_000_4080_000,1552696068293759,2,"Day,Fog,Bad lighting"
291,10072140764565668044_4060_000_4080_000,1552696068493800,0,"Day,Snow,Bad lighting"
292,10072140764565668044_4060_000_4080_000,1552696068493800,1,"Day,Rain,Bad lighting"
293,10072140764565668044_4060_000_4080_000,1552696068493800,2,"Day,Fog,Bad lighting"
294,10072140764565668044_4060_000_4080_000,1552696068893815,0,"Day,Snow,Bad lighting"
295,10072140764565668044_4060_000_4080_000,1552696068893815,1,"Day,Rain,Bad lighting"
296,10072140764565668044_4060_000_4080_000,1552696068893815,2,"Day,Fog,Bad lighting"
297,10072231702153043603_5725_000_5745_000,1521741644518266,0,"Day,Rain,Bad lighting"
298,10072231702153043603_5725_000_5745_000,1521741644518266,1,"Day,Rain,Bad lighting"
299,10072231702153043603_5725_000_5745_000,1521741644518266,2,"Day,Clear,Bad lighting"
300,10072231702153043603_5725_000_5745_000,1521741644918034,0,"Day,Clear,Bad lighting"
301,10072231702153043603_5725_000_5745_000,1521741644918034,1,"Day,Rain,Bad lighting"
302,10072231702153043603_5725_000_5745_000,1521741644918034,2,"Day,Clear,Bad lighting"
303,10072231702153043603_5725_000_5745_000,1521741645117999,0,"Day,Fog,Bad lighting"
304,10072231702153043603_5725_000_5745_000,1521741645117999,1,"Day,Rain,Bad lighting"
305,10072231702153043603_5725_000_5745_000,1521741645117999,2,"Day,Clear,Bad lighting"
306,10072231702153043603_5725_000_5745_000,1521741645318015,0,"Day,Rain,Bad lighting"
307,10072231702153043603_5725_000_5745_000,1521741645318015,1,"Day,Rain,Bad lighting"
308,10072231702153043603_5725_000_5745_000,1521741645318015,2,"Day,Snow,Bad lighting"
309,10072231702153043603_5725_000_5745_000,1521741645718133,0,"Day,Rain,Bad lighting"
